year,kind,division,award,title,author_affiliation,official_summary,url,local_path,retrieved_at,sha256,bytes
2018,judging_summary,共通,,総評,,,https://www.nstac.go.jp/sys/files/sites/3/static/statcompe/files/2018/2018souhyou.pdf,references/awards/raw/2018/common/2018souhyou.pdf,2026-08-17T07:53:46.763074+00:00,c44dd72596c1f1512b9388fbc135ae8c1c9e7b4cd6bf84728720cae4b5c724f8,6230
2018,judging_summary,共通,,一覧はこちら,,,https://www.nstac.go.jp/sys/files/sites/3/static/statcompe/files/2018award.pdf,references/awards/raw/2018/common/2018award.pdf,2026-08-17T07:53:46.763074+00:00,16a36535732d476eaa661d1d1b3420a92dc333bf86ad45f771c3366f110a9616,11989
2018,paper,高校生の部,総務大臣賞,本当に日本の医療は危機的状況にあるのか?,大段 利々子(広島大学附属高等学校) 医療問題について、医師数、病院数と人口構成比や自治体の経済力などの関係性を分析した上で、高齢者の地域経済への貢献が重要と指摘,,https://www.nstac.go.jp/sys/files/sites/3/static/statcompe/files/2018/2018H-daijin.pdf,references/awards/raw/2018/high-school/2018H-daijin.pdf,2026-08-17T07:53:46.763074+00:00,e7f020a7b0c244ba133dc8b1075096cd1e9265381d16fb31cd51381c50a0cbb9,658187
2018,paper,高校生の部,優秀賞,SSDSEデータを活用した全国学習状況調査結果との相関分析,宮本 雨月、金山 瑠依、門脇 俊樹(和歌山県立田辺工業高等学校) 小学生の学習への関心や取組について、家族構成や自治体の教育費等との関係を分析した結果、大家族世帯が学習状況に良い影響を与えると指摘,,https://www.nstac.go.jp/sys/files/sites/3/static/statcompe/files/2018/2018H-yuusyuu.pdf,references/awards/raw/2018/high-school/2018H-yuusyuu.pdf,2026-08-17T07:53:46.763074+00:00,9b7ed60e7bd64a1c0d64afe68c185ddd3f1ceceeccbc0f151378e3230962ac86,503750
2018,paper,高校生の部,日本統計協会賞,交流人口増加による愛媛県の活性化,白石 大悟、高田 蒼大、武田 裕喜(愛媛県立松山南高等学校) 人口減少による経済の縮小に対して、外国人旅行者の増加を目指し、温泉旅館の利用促進を提案。様々な公的統計を活用し、経済波及効果も推計,,https://www.nstac.go.jp/sys/files/sites/3/static/statcompe/files/2018/2018H-kyoukai.pdf,references/awards/raw/2018/high-school/2018H-kyoukai.pdf,2026-08-17T07:53:46.763074+00:00,6eafa22aeace1bb44b51f459903714b7f6fd91d131fabf78a54d56c92b93660e,306956
2018,paper,高校生の部,特別賞,機械学習による15歳未満人口の推定,伊藤 寛子(渋谷教育学園幕張高等学校) 機械学習により人口統計データを分析することを試み、その過程を詳細に記載,,https://www.nstac.go.jp/sys/files/sites/3/static/statcompe/files/2018/2018H-tokubetu.pdf,references/awards/raw/2018/high-school/2018H-tokubetu.pdf,2026-08-17T07:53:46.763074+00:00,ee2ce392120faa6ac21575b5fb9c9873afab23047af5f42b02ef30942afb5d19,455705
2018,paper,大学生・一般の部,総務大臣賞,地方創生における三つの「鍵」,平原 幸輝(早稲田大学人間科学部人間環境科学科) 地方創生のコアである人口増減について、「大学進学率」、「人口当たり医師数」、「労働力人口率」の3つの指標が強い影響力を持っていると指摘。これらの指標に基づき、各市町村を類型化,,https://www.nstac.go.jp/sys/files/sites/3/static/statcompe/files/2018/2018G-daijin.pdf,references/awards/raw/2018/university-general/2018G-daijin.pdf,2026-08-17T07:53:46.763074+00:00,f42cf1ccc81f9c125c530a557f3bdceab50df9f8f17043a63335b82b29efc969,1419372
2018,paper,大学生・一般の部,優秀賞,人口規模によって異なる保育所数・保育所在所児数・定員充足率の関係,小野島 昂洋(早稲田大学大学院教育学研究科) 保育所数、利用者数、定員充足率は市町村の規模によって、その関係性に差異があることを確認した上で、政策立案においてはこの差異を考慮する必要があると指摘,,https://www.nstac.go.jp/sys/files/sites/3/static/statcompe/files/2018/2018G-yuusyuu.pdf,references/awards/raw/2018/university-general/2018G-yuusyuu.pdf,2026-08-17T07:53:46.763074+00:00,f285b8465f03dfcc050ff3c3d7be0fc3e8f006c7dda676101e13825c490bec2e,377661
2018,paper,大学生・一般の部,日本統計協会賞,地方創生に向けた東京一極集中是正のための定量的都市圏選定指標の提案,池田 泰成、柴辻 優樹、鶏内 朋也、石川 貴啓、佐野 岳史(慶應義塾大学リーディングプログラム) 首都機能を他の都市へ移転することを想定し、地理、経済、生活に係る指標を使って、移転にふさわしい都市を具体的に選定,,https://www.nstac.go.jp/sys/files/sites/3/static/statcompe/files/2018/2018G-kyoukai.pdf,references/awards/raw/2018/university-general/2018G-kyoukai.pdf,2026-08-17T07:53:46.763074+00:00,2f9ffcce4e9dfea1f2a255d7ac8ecff6e85bd7a2e0addbc8a998c5b87a1167dc,445791
2018,paper,大学生・一般の部,特別賞,日本の全市町村における人口の自然増減の分布と説明要因,"小野 恵子(国際基督教大学 社会科学研究所) 宮内 はじめ(Code for Nagoya, OSGeo財団日本支部) 白松 俊(名古屋工業大学大学院 工学研究科) 河口 信夫(名古屋大学大学院 工学研究科) 五十嵐 康伸(パーソルキャリア株式会社) 人口の自然減少について、地理的・時間的な分布を明らかにするとともに、高齢者率、若年女性比、女性・子ども比、都市圏かどうかが影響していると指摘",,https://www.nstac.go.jp/sys/files/sites/3/static/statcompe/files/2018/2018G-tokubetu.pdf,references/awards/raw/2018/university-general/2018G-tokubetu.pdf,2026-08-17T07:53:46.763074+00:00,4ae9f04947a9b20b5359d8ac1f6bd01fa5007da053ab2732b0f9c663c3eb2d2c,1343433
