dataset,version,column_index,code,label,period,data_rows
A,2026,0,SSDSE-A-2026,地域コード,,1741
A,2026,1,Prefecture,都道府県,,1741
A,2026,2,Municipality,市区町村,年度,1741
A,2026,3,A1101,総人口,2020,1741
A,2026,4,A110101,総人口（男）,2020,1741
A,2026,5,A110102,総人口（女）,2020,1741
A,2026,6,A1102,日本人人口,2020,1741
A,2026,7,A110201,日本人人口（男）,2020,1741
A,2026,8,A110202,日本人人口（女）,2020,1741
A,2026,9,A1301,15歳未満人口,2020,1741
A,2026,10,A130101,15歳未満人口（男）,2020,1741
A,2026,11,A130102,15歳未満人口（女）,2020,1741
A,2026,12,A1302,15～64歳人口,2020,1741
A,2026,13,A130201,15～64歳人口（男）,2020,1741
A,2026,14,A130202,15～64歳人口（女）,2020,1741
A,2026,15,A1303,65歳以上人口,2020,1741
A,2026,16,A130301,65歳以上人口（男）,2020,1741
A,2026,17,A130302,65歳以上人口（女）,2020,1741
A,2026,18,A1419,75歳以上人口,2020,1741
A,2026,19,A141901,75歳以上人口（男）,2020,1741
A,2026,20,A141902,75歳以上人口（女）,2020,1741
A,2026,21,A1700,外国人人口,2020,1741
A,2026,22,A4101,出生数,2023,1741
A,2026,23,A4200,死亡数,2023,1741
A,2026,24,A5101,転入者数（日本人移動者）,2024,1741
A,2026,25,A5102,転出者数（日本人移動者）,2024,1741
A,2026,26,A7101,世帯数,2020,1741
A,2026,27,A710101,一般世帯数,2020,1741
A,2026,28,A710201,一般世帯人員数,2020,1741
A,2026,29,A810102,核家族世帯数,2020,1741
A,2026,30,A810105,単独世帯数,2020,1741
A,2026,31,A811102,65歳以上の世帯員のいる核家族世帯数,2020,1741
A,2026,32,A8201,夫65歳以上、妻60歳以上の夫婦のみの世帯数,2020,1741
A,2026,33,A8301,65歳以上世帯員の単独世帯数,2020,1741
A,2026,34,A9101,婚姻件数,2023,1741
A,2026,35,A9201,離婚件数,2023,1741
A,2026,36,B1101,総面積（北方地域及び竹島を除く）,2024,1741
A,2026,37,B1103,可住地面積,2024,1741
A,2026,38,C2108,事業所数（民営）,2021,1741
A,2026,39,C210832,事業所数（民営）（農業、林業）,2021,1741
A,2026,40,C210833,事業所数（民営）（漁業）,2021,1741
A,2026,41,C210835,事業所数（民営）（鉱業、採石業、砂利採取業）,2021,1741
A,2026,42,C210836,事業所数（民営）（建設業）,2021,1741
A,2026,43,C210837,事業所数（民営）（製造業）,2021,1741
A,2026,44,C210838,事業所数（民営）（電気・ガス・熱供給・水道業）,2021,1741
A,2026,45,C210839,事業所数（民営）（情報通信業）,2021,1741
A,2026,46,C210840,事業所数（民営）（運輸業、郵便業）,2021,1741
A,2026,47,C210841,事業所数（民営）（卸売業、小売業）,2021,1741
A,2026,48,C210844,事業所数（民営）（金融業、保険業）,2021,1741
A,2026,49,C210845,事業所数（民営）（不動産業、物品賃貸業）,2021,1741
A,2026,50,C210846,事業所数（民営）（学術研究、専門・技術サービス業）,2021,1741
A,2026,51,C210847,事業所数（民営）（宿泊業、飲食サービス業）,2021,1741
A,2026,52,C210848,事業所数（民営）（生活関連サービス業、娯楽業）,2021,1741
A,2026,53,C210849,事業所数（民営）（教育、学習支援業）,2021,1741
A,2026,54,C210850,事業所数（民営）（医療、福祉）,2021,1741
A,2026,55,C210851,事業所数（民営）（複合サービス事業）,2021,1741
A,2026,56,C210852,事業所数（民営）（サービス業（他に分類されないもの））,2021,1741
A,2026,57,C2208,従業者数（民営）,2021,1741
A,2026,58,C220832,従業者数（民営）（農業、林業）,2021,1741
A,2026,59,C220833,従業者数（民営）（漁業）,2021,1741
A,2026,60,C220835,従業者数（民営）（鉱業、採石業、砂利採取業）,2021,1741
A,2026,61,C220836,従業者数（民営）（建設業）,2021,1741
A,2026,62,C220837,従業者数（民営）（製造業）,2021,1741
A,2026,63,C220838,従業者数（民営）（電気・ガス・熱供給・水道業）,2021,1741
A,2026,64,C220839,従業者数（民営）（情報通信業）,2021,1741
A,2026,65,C220840,従業者数（民営）（運輸業、郵便業）,2021,1741
A,2026,66,C220841,従業者数（民営）（卸売業、小売業）,2021,1741
A,2026,67,C220844,従業者数（民営）（金融業、保険業）,2021,1741
A,2026,68,C220845,従業者数（民営）（不動産業、物品賃貸業）,2021,1741
A,2026,69,C220846,従業者数（民営）（学術研究、専門・技術サービス業）,2021,1741
A,2026,70,C220847,従業者数（民営）（宿泊業、飲食サービス業）,2021,1741
A,2026,71,C220848,従業者数（民営）（生活関連サービス業、娯楽業）,2021,1741
A,2026,72,C220849,従業者数（民営）（教育、学習支援業）,2021,1741
A,2026,73,C220850,従業者数（民営）（医療、福祉）,2021,1741
A,2026,74,C220851,従業者数（民営）（複合サービス事業）,2021,1741
A,2026,75,C220852,従業者数（民営）（サービス業（他に分類されないもの））,2021,1741
A,2026,76,C310201,農家数（販売農家）,2019,1741
A,2026,77,C310202,農家数（自給的農家）,2019,1741
A,2026,78,D1202,一般行政部門職員数（市区町村）,2024,1741
A,2026,79,D2203,経常収支比率（市町村財政）,2022,1741
A,2026,80,D2211,実質公債費比率（市町村財政）,2022,1741
A,2026,81,D3201,歳入決算総額（市町村財政）,2022,1741
A,2026,82,D320101,地方税（市町村財政）,2022,1741
A,2026,83,D3203,歳出決算総額（市町村財政）,2022,1741
A,2026,84,D320303,民生費（市町村財政）,2022,1741
A,2026,85,D320308,土木費（市町村財政）,2022,1741
A,2026,86,D320310,教育費（市町村財政）,2022,1741
A,2026,87,D320311,災害復旧費（市町村財政）,2022,1741
A,2026,88,E1101,幼稚園数,2024,1741
A,2026,89,E1501,幼稚園在園者数,2024,1741
A,2026,90,E2101,小学校数,2024,1741
A,2026,91,E2401,小学校教員数,2024,1741
A,2026,92,E2501,小学校児童数,2024,1741
A,2026,93,E3101,中学校数,2024,1741
A,2026,94,E3401,中学校教員数,2024,1741
A,2026,95,E3501,中学校生徒数,2024,1741
A,2026,96,E3901,義務教育学校数,2024,1741
A,2026,97,E3904,義務教育学校教員数,2024,1741
A,2026,98,E3905,義務教育学校前期課程児童数,2024,1741
A,2026,99,E3906,義務教育学校後期課程生徒数,2024,1741
A,2026,100,E4101,高等学校数,2024,1741
A,2026,101,E4501,高等学校生徒数,2024,1741
A,2026,102,F1102,就業者数,2020,1741
A,2026,103,F110201,就業者数（男）,2020,1741
A,2026,104,F110202,就業者数（女）,2020,1741
A,2026,105,F1107,完全失業者数,2020,1741
A,2026,106,F110701,完全失業者数（男）,2020,1741
A,2026,107,F110702,完全失業者数（女）,2020,1741
A,2026,108,F1108,非労働力人口,2020,1741
A,2026,109,F110801,非労働力人口（男）,2020,1741
A,2026,110,F110802,非労働力人口（女）,2020,1741
A,2026,111,F2201,第1次産業就業者数,2020,1741
A,2026,112,F2211,第2次産業就業者数,2020,1741
A,2026,113,F2221,第3次産業就業者数,2020,1741
A,2026,114,G1201,公民館数,2021,1741
A,2026,115,G1401,図書館数,2021,1741
A,2026,116,H5507,総人口（非水洗化人口＋水洗化人口）,2023,1741
A,2026,117,H550701,非水洗化人口,2023,1741
A,2026,118,H6130,小売店数,2021,1741
A,2026,119,H6131,飲食店数,2021,1741
A,2026,120,H6132,大型小売店数,2021,1741
A,2026,121,I510120,一般病院数,2023,1741
A,2026,122,I5102,一般診療所数,2023,1741
A,2026,123,I5103,歯科診療所数,2023,1741
A,2026,124,I6100,医師数,2022,1741
A,2026,125,I6200,歯科医師数,2022,1741
A,2026,126,I6300,薬剤師数,2022,1741
A,2026,127,J250302,保育所等数（基本票）,2023,1741
B,2026,0,SSDSE-B-2026,年度,,564
B,2026,1,Code,地域コード,,564
B,2026,2,Prefecture,都道府県,,564
B,2026,3,A1101,総人口,,564
B,2026,4,A110101,総人口（男）,,564
B,2026,5,A110102,総人口（女）,,564
B,2026,6,A1102,日本人人口,,564
B,2026,7,A110201,日本人人口（男）,,564
B,2026,8,A110202,日本人人口（女）,,564
B,2026,9,A1301,15歳未満人口,,564
B,2026,10,A130101,15歳未満人口（男）,,564
B,2026,11,A130102,15歳未満人口（女）,,564
B,2026,12,A1302,15～64歳人口,,564
